State,time_of_day_sin,time_of_day_cos,hrv_sdnn,rmssd,hrv_7day_slope,hr_delta_from_resting,sleep_efficiency,deep_sleep_pct,rem_pct,awakening_count,late_night_wakefulness,respiratory_rate,wrist_temp_delta
resilient,-1.0,-1.8369701987210297e-16,66.04920929498502,,0.5167125914457888,-3.9548152489542368,0.8048346514938753,0.18472573460025507,0.14646761523047225,0.0,0.0,14.19947047890429,0.371123511427925
struggling,0.9659258262890683,-0.25881904510252063,23.346253889677765,10.717879617267581,-0.6359961450654082,7.653653965055841,0.9533450904773146,0.1639525412188323,0.2918406877196927,0.0,0.0,15.303184422956129,0.06435741937495132
recovering,1.0,6.123233995736766e-17,34.59292434963592,27.341403573905403,0.2274896220442718,13.401627704502209,0.9115572354642427,0.09825233108556611,0.24694384994216217,1.0,0.0,14.74099126574637,-0.1814775684273191
resilient,-0.7071067811865471,-0.7071067811865479,60.258788440858496,37.86022284948995,0.3970948324465869,3.07076389240843,0.8776548254179227,0.2504589865233817,0.26471143667125396,0.0,0.0,14.824940257267059,-0.3489334908941837
depleted,-1.0,-1.8369701987210297e-16,21.400184355663534,14.550818553394135,-0.6519635257602124,4.1143369002837495,,0.195318530260542,0.3328773665239525,1.0,0.0,15.748165749705148,-0.21540324444667777
unknown,0.9659258262890683,0.25881904510252074,30.497902541955494,39.46748067798263,-0.19317327707117593,0.8587588521938896,0.8617852608629611,0.22863979907313467,0.19159212029362716,0.0,0.0,13.070263386810025,0.19432962622101232
recovering,-0.9659258262890684,0.2588190451025203,64.4010029443768,38.12140829407403,0.2948919511462914,20.356235224556155,0.881834832911562,0.19685815211165053,0.2746280770358166,0.0,0.0,14.545566273770573,0.0026363256774511834
recovering,-0.8660254037844386,0.5000000000000001,19.06728568023557,17.919651423596857,0.34773404031748356,14.076167744922163,,0.24436404932479341,0.18141830076359117,1.0,0.0,15.74311984928157,
resilient,0.49999999999999994,-0.8660254037844387,48.77137246849499,42.834756352564355,1.0,10.77445522851158,1.0,0.18719745993907244,0.3620680886931654,4.0,0.0,13.058732742955128,0.11736733303499608
anxious,0.8660254037844386,0.5000000000000001,14.1755825636058,9.642035908916421,-0.44314785616863805,8.393772688246631,0.9286104440382201,0.18352248787144979,0.24267012743870714,0.0,0.0,19.74335275370185,0.4662274045354193
depleted,-0.7071067811865471,-0.7071067811865479,22.545870162751598,23.006997418626966,-0.6328617408686288,0.584246497956485,0.749580769815947,0.15705000844722328,0.1829696323695108,2.0,0.0,13.053461756315624,0.3653818582773483
resilient,1.0,6.123233995736766e-17,30.310885624032302,50.1704485096214,0.29704427351651613,0.6112098272609741,0.9374889511704821,0.21310813373642024,0.23680044889764015,3.0,0.0,16.52690716102763,0.00493086372185303
depleted,0.8660254037844386,0.5000000000000001,,15.401276063229709,-0.3781797371122329,6.630731656572745,,0.18144609205813272,0.26854401328374744,1.0,0.0,12.709237220183372,0.11214023664664566
depleted,0.49999999999999994,-0.8660254037844387,20.81206043135717,9.952231468338487,-0.3379995771561811,0.71716580721202,0.8539543987689734,0.17435195223154742,0.3371836303607944,1.0,0.0,16.50973728517595,-0.23957425357896753
unknown,-0.4999999999999997,-0.8660254037844388,28.98195251185959,41.47964503122419,-0.18984386187461488,11.788848096524486,0.7304437334395315,0.11497444523227894,0.23300742908765565,1.0,0.0,13.671902915977487,-0.22526492577951843
recovering,0.49999999999999994,0.8660254037844387,46.698564524672534,26.99964010647675,0.6258863210097557,6.086420222872442,0.9220380188811019,0.17897419902439182,0.213837162403206,0.0,0.0,17.024844719159116,0.3475800579228119
struggling,0.8660254037844386,0.5000000000000001,37.479571303945725,18.796745933169042,-0.7951257192819325,13.02942690641781,0.7138882430972182,0.22009369880499005,0.30231010431072386,2.0,0.0,11.135406521207045,0.5663268111076109
unknown,-0.5000000000000004,0.8660254037844384,,,0.6407631083883721,25.596052199686838,0.9211768374664959,0.19329825834677686,0.2506844359553324,0.0,0.0,14.124275147071284,0.18161168599960198
unknown,-0.8660254037844386,0.5000000000000001,54.74407601897563,65.01518108604313,-0.48150699135652036,17.62245332822112,0.8250190178130935,0.2282528388615328,0.24737090926027716,2.0,0.0,17.57850528874446,-0.2544935382646472
depleted,0.8660254037844386,0.5000000000000001,26.95206279374794,28.59927784986717,-0.4862476904525232,-1.2671073266031927,0.662870969856963,0.14820215621515148,0.26199461589478973,1.0,0.0,15.417231799744078,
restful,0.8660254037844387,-0.4999999999999998,49.44852618071027,39.789649295440086,0.027367353257230127,-3.58431644426752,0.9310590250453271,0.17159247721581006,0.14936453016325169,1.0,0.0,14.371037348817111,0.42980654222554987
recovering,-0.4999999999999997,-0.8660254037844388,43.75911140422076,46.4385743741371,0.7772707015577707,2.142461773855369,0.9144564659401503,0.21921575203029559,0.24202053803201815,1.0,0.0,16.044954794446134,0.004233085866263551
anxious,0.49999999999999994,0.8660254037844387,29.582000220604307,20.254801560601244,-0.5117532348657203,17.96611897155728,0.9595868093203935,0.19870132700094423,0.21809462638766897,0.0,0.0,,-0.0234097862762371
unknown,0.9659258262890683,0.25881904510252074,52.72546438794703,51.94645835601229,0.12765937132407992,-2.1564756414995747,0.7180499699111382,0.05003230796802205,0.21497171064278164,1.0,0.0,21.159429836029773,0.3289109160233626
struggling,-0.8660254037844384,-0.5000000000000004,38.73305740226094,26.431835876048332,-0.6563870078261715,15.684888001594336,0.8258714937292674,0.17175527952378372,0.26102194902533465,1.0,0.0,11.940605389283762,
restful,-0.8660254037844386,0.5000000000000001,73.63374465808815,36.480800380229496,0.46795388103221786,-1.7011515204610652,0.9597069221747587,0.14532149381965753,0.1202992445106324,0.0,0.0,14.585860899680657,-0.02046329824497896
restful,0.9659258262890683,-0.25881904510252063,54.04390463573043,78.16553823863231,-0.06609967382868659,1.9165661750539984,0.929649118557696,0.19190184343905342,0.19471461154421751,3.0,0.0,12.011572835099336,0.04229718824334988
anxious,-0.8660254037844386,0.5000000000000001,23.020365291592913,23.787075426340976,0.0588283050138554,10.673185423743714,0.8070459078129388,0.045480876156628186,0.24949946334009646,0.0,0.0,,0.017495784720040708
unknown,0.49999999999999994,-0.8660254037844387,,46.61620701259641,-0.03469543267785369,13.249238851759952,0.8586327949966911,0.21014884968715347,0.27291077517507634,2.0,0.0,15.286574540499414,0.0020936328097395642
struggling,0.9659258262890683,0.25881904510252074,28.839072433389614,22.041190308501875,-0.7738231255724113,14.063619948794395,0.7677780732952041,0.23316868231712667,0.24261539371863067,2.0,0.0,18.767320437197334,0.34241639870903284
recovering,0.9659258262890683,-0.25881904510252063,,40.924243629711576,0.49400086726537384,10.495845614089175,0.8630302159784444,0.1691721686284762,0.18205337809119604,0.0,0.0,15.180725690260877,0.32847746266699646
